"bec","site","block","plot","treat1","treat2","yr_surv","yrs_pb","yr","pft1","pft2","pft3","pft4","pft5","pft6","pft7","pft8"
"sbs","Helene",1,"c","CC","FB",1987,5,5,2,16.5,4,0,0,0.5,6,0
"sbs","Helene",1,"d","CC","FB",1987,5,5,2,9,0,5,0,0,4,0
"sbs","Helene",1,"e","CC","FB",1987,5,5,2,5,3,0,0,0,2,0
"sbs","Helene",2,"a","CC","FB",1987,5,5,0,30,26,0.5,0,0,0,2
"sbs","Helene",2,"b","CC","FB",1987,5,5,2,38.5,7,3,0,0,0.5,1
"sbs","Helene",2,"c","CC","FB",1987,5,5,0.5,7,30,0,0,0,0,3
"sbs","Helene",2,"d","CC","FB",1987,5,5,2,2.5,62,0,0,0.5,0,0.5
"sbs","Helene",2,"e","CC","FB",1987,5,5,0,55.5,55.5,0,0,0,0,0
"sbs","Helene",3,"a","CC","FB",1987,5,5,0,30.5,0,0,0,0,2.5,0.5
"sbs","Helene",3,"b","CC","FB",1987,5,5,0,13.5,2,0,0,0,2,1
"sbs","Helene",3,"c","CC","FB",1987,5,5,3,8,0,1,0,0,2,0.5
"sbs","Helene",3,"d","CC","FB",1987,5,5,3,28,3,0,0,0,13,3
"sbs","Helene",3,"e","CC","FB",1987,5,5,2,16.5,1.5,0,0,0,7,1
"sbs","Helene",1,"a","CC","FB",1992,10,10,11,41.6,0,0,0,0,14.1,4
"sbs","Helene",1,"b","CC","FB",1992,10,10,15,24.5,1.5,0,0,0,5,7
"sbs","Helene",1,"c","CC","FB",1992,10,10,40,19.1,4.1,0,0,0,14,5
"sbs","Helene",1,"d","CC","FB",1992,10,10,11,15,2,20,0,0,8,1
"sbs","Helene",1,"e","CC","FB",1992,10,10,12,7.1,15,0,0,0,1,0
"sbs","Helene",2,"a","CC","FB",1992,10,10,2,28,36,10,0,0.5,0,4
"sbs","Helene",2,"b","CC","FB",1992,10,10,6,20,5,2,0,0,0,3
"sbs","Helene",2,"c","CC","FB",1992,10,10,12,5.5,23,0,0,0,0,10
"sbs","Helene",2,"d","CC","FB",1992,10,10,6,4,47,2,0,0,0,1
"sbs","Helene",2,"e","CC","FB",1992,10,10,6,34,52,2,0,0,0,0
"sbs","Helene",3,"a","CC","FB",1992,10,10,12,49.5,0,0,0,0,3,0.5
"sbs","Helene",3,"b","CC","FB",1992,10,10,5,24,0.5,6,0,0,3,3
"sbs","Helene",3,"c","CC","FB",1992,10,10,10,6.5,0,6,0,0,1,3
"sbs","Helene",3,"d","CC","FB",1992,10,10,12,25.5,1,4,0,0,26,7
"sbs","Helene",3,"e","CC","FB",1992,10,10,15,19,0.5,6,0,0,11,2
"sbs","Helene",1,"a","CC","FB",2003,21,20,30,26.5,0,1,0,0,71,25
"sbs","Helene",1,"b","CC","FB",2003,21,20,40,23,0,4,0,4,23,27
"sbs","Helene",1,"c","CC","FB",2003,21,20,57,34,1,13,0,0,66,8
"sbs","Helene",1,"d","CC","FB",2003,21,20,28,9,2,28,0,0,75,3
"sbs","Helene",1,"e","CC","FB",2003,21,20,13,16.5,0.5,0,2,0,17,0
"sbs","Helene",2,"a","CC","FB",2003,21,20,17.5,19,6.5,42,0,1,0,17
"sbs","Helene",2,"b","CC","FB",2003,21,20,15,55,2,4,0,0.5,2,7
"sbs","Helene",2,"c","CC","FB",2003,21,20,50,2,1.5,0,0,12,0,22
"sbs","Helene",2,"d","CC","FB",2003,21,20,32,2,1,8,0,1,0,3
"sbs","Helene",2,"e","CC","FB",2003,21,20,40,44,2,11,0,0,8,0
"sbs","Helene",3,"a","CC","FB",2003,21,20,30,54.5,1.5,5,0,0,18.5,2
"sbs","Helene",3,"b","CC","FB",2003,21,20,7,32.5,0.5,0,0,3,13,5
"sbs","Helene",3,"c","CC","FB",2003,21,20,55,8,0,7,0,0,47,5
"sbs","Helene",3,"d","CC","FB",2003,21,20,40.5,36,3,6,0,1,77,8
"sbs","Helene",3,"e","CC","FB",2003,21,20,40,27,0.5,1,0,0,25,0
"essf","Herron",1,"a","CC","FB",1984,1,1,0,30.5,0,0,0,0,2.5,4
"essf","Herron",1,"b","CC","FB",1984,1,1,0,8,0,0,0,0,0,3
"essf","Herron",1,"c","CC","FB",1984,1,1,0,10,0,0,0,0.5,0.5,2
"essf","Herron",1,"d","CC","FB",1984,1,1,0,0.5,0,0,0,0.5,2,2
"essf","Herron",1,"e","CC","FB",1984,1,1,0,3,0,0,0,0.5,0.5,10
"essf","Herron",3,"a","CC","FB",1984,1,1,0,30,0,0.5,0,0,0.5,0.5
"essf","Herron",3,"b","CC","FB",1984,1,1,0,9,0,0.5,0,0,1,0.5
"essf","Herron",3,"c","CC","FB",1984,1,1,0,0,0,0.5,0,0.5,2,1
"essf","Herron",3,"d","CC","FB",1984,1,1,0,1,0,0,0,0.5,3,0.5
"essf","Herron",3,"e","CC","FB",1984,1,1,0,2,0,0,0,0.5,1.5,0.5
"essf","Herron",1,"a","CC","FB",1987,4,5,0.5,25,0,0,0,0.5,3.5,4
"essf","Herron",1,"b","CC","FB",1987,4,5,0.5,7,0,0,0,0,0,4
"essf","Herron",1,"c","CC","FB",1987,4,5,0,16,0,0,0,0,1,3
"essf","Herron",1,"d","CC","FB",1987,4,5,0.5,18,2,0,0,0,7,5
"essf","Herron",1,"e","CC","FB",1987,4,5,0,7,1,0,0,0.5,3,10
"essf","Herron",3,"a","CC","FB",1987,4,5,0,15,0.5,0,0,0,3,2
"essf","Herron",3,"b","CC","FB",1987,4,5,0,9,3,1,0,0,5,2
"essf","Herron",3,"c","CC","FB",1987,4,5,0,50,0,0,0,0,3,1
"essf","Herron",3,"d","CC","FB",1987,4,5,0.5,5.5,4,0,0,0,12,1
"essf","Herron",3,"e","CC","FB",1987,4,5,1,31.5,0,0,0,0,4,3
"essf","Herron",1,"a","CC","FB",1991,8,10,2,24,0,0,0,0,3,8
"essf","Herron",1,"b","CC","FB",1991,8,10,3,13,1,0,0,0,0,6
"essf","Herron",1,"c","CC","FB",1991,8,10,0,35,7,0,0,1,6,3
"essf","Herron",1,"d","CC","FB",1991,8,10,4,12,7,0,0,1,3,6
"essf","Herron",1,"e","CC","FB",1991,8,10,0,8,8,0,0,0,7,9
"essf","Herron",3,"a","CC","FB",1991,8,10,0,19.5,4,2,0,0,4,2
"essf","Herron",3,"b","CC","FB",1991,8,10,1,17.5,7,4,0,0,15.5,1
"essf","Herron",3,"c","CC","FB",1991,8,10,2,21,0,0,0,0,4.5,0.5
"essf","Herron",3,"d","CC","FB",1991,8,10,4,9,7.5,0,0,0,29,1
"essf","Herron",3,"e","CC","FB",1991,8,10,1,11,2,0,0,0,13,4
"essf","Herron",1,"a","CC","FB",2000,17,20,20,53.5,9,0,0,0,33,20
"essf","Herron",1,"b","CC","FB",2000,17,20,38,5,9,25,0,5,43,25
"essf","Herron",1,"c","CC","FB",2000,17,20,36,12,1,0,0,1,15,12
"essf","Herron",1,"d","CC","FB",2000,17,20,9.5,23,12,0,0,5,40,8
"essf","Herron",1,"e","CC","FB",2000,17,20,30.5,42,11,6.5,0,0,40,12
"essf","Herron",3,"a","CC","FB",2000,17,20,15,27.5,6.5,0,0,2,14,12
"essf","Herron",3,"b","CC","FB",2000,17,20,8,19.5,24.5,2,0,0,32,8
"essf","Herron",3,"c","CC","FB",2000,17,20,7,16,13.5,0.5,0,1,13,12
"essf","Herron",3,"d","CC","FB",2000,17,20,23,11,10.5,0,0,0,25.5,10
"essf","Herron",3,"e","CC","FB",2000,17,20,26,23.5,10.5,0,0,10,11,30
"sbs","Walcott",1,"a","CC","FB",1983,1,1,0.5,7.5,1.5,0,0,0,4,1
"sbs","Walcott",1,"b","CC","FB",1983,1,1,0.5,4.5,1.5,0,0,0,3.2,5.5
"sbs","Walcott",1,"c","CC","FB",1983,1,1,0.5,4,5.5,0,1,0,5,2
"sbs","Walcott",1,"d","CC","FB",1983,1,1,1,5.5,0,0,0,0,3,2
"sbs","Walcott",1,"e","CC","FB",1983,1,1,0.5,5,1.5,0,1,0,1,2
"sbs","Walcott",2,"a","CC","FB",1983,1,1,0.5,5.5,17,6,0,0,4.5,4
"sbs","Walcott",2,"b","CC","FB",1983,1,1,0.5,0.5,0.5,2,0,0.5,13,4
"sbs","Walcott",2,"c","CC","FB",1983,1,1,0.5,0.5,7.5,2,0,0,5,0.5
"sbs","Walcott",2,"d","CC","FB",1983,1,1,0.5,6,6.5,2,0,0,4.5,5
"sbs","Walcott",2,"e","CC","FB",1983,1,1,0.5,4,4.5,0.5,0,0,2.5,5
"sbs","Walcott",3,"a","CC","FB",1983,1,1,0.5,9,1,0,0,0,1.5,1
"sbs","Walcott",3,"b","CC","FB",1983,1,1,0.5,1,1,0,0,0.5,2,1
"sbs","Walcott",3,"c","CC","FB",1983,1,1,0.5,2.5,0.5,0,0,0,4,2
"sbs","Walcott",3,"d","CC","FB",1983,1,1,0.5,5,0.5,0,0,0,3,3
"sbs","Walcott",3,"e","CC","FB",1983,1,1,0,1,0.5,0,0,0,3.5,3
"sbs","Walcott",1,"a","CC","FB",1987,5,5,4,16,10,0,3,0,2,0.5
"sbs","Walcott",1,"b","CC","FB",1987,5,5,1,21,4,0,1,0,3,2.5
"sbs","Walcott",1,"c","CC","FB",1987,5,5,5,13,10,0,5,0,3,2.5
"sbs","Walcott",1,"d","CC","FB",1987,5,5,0,20,2,0,0,0,2.5,0.5
"sbs","Walcott",1,"e","CC","FB",1987,5,5,3,14,1,0,2,0,1,0.5
"sbs","Walcott",2,"a","CC","FB",1987,5,5,1,10.5,0.5,5,0,0,5,0
"sbs","Walcott",2,"b","CC","FB",1987,5,5,2,4,1,7,0,0,12,2
"sbs","Walcott",2,"c","CC","FB",1987,5,5,2,10,5,4,0,0,2.5,0
"sbs","Walcott",2,"d","CC","FB",1987,5,5,2,6,3,2,0,0,8.5,0
"sbs","Walcott",2,"e","CC","FB",1987,5,5,2,7,3,1,0,0,3,0
"sbs","Walcott",3,"a","CC","FB",1987,5,5,3,8,9,0,0,0,2.5,0.5
"sbs","Walcott",3,"b","CC","FB",1987,5,5,0.5,7,7,0,0,0,3,0
"sbs","Walcott",3,"c","CC","FB",1987,5,5,3,6.5,2,0,0,0,7.5,0.5
"sbs","Walcott",3,"d","CC","FB",1987,5,5,0,6.5,5,0,0,0,1.5,0
"sbs","Walcott",3,"e","CC","FB",1987,5,5,0,3.5,9,0,0,0,2.5,0.5
"sbs","Walcott",1,"a","CC","FB",1992,10,10,30,21,2,0,4,0,2.1,3
"sbs","Walcott",1,"b","CC","FB",1992,10,10,8,34,3,0,4,0,5,6
"sbs","Walcott",1,"c","CC","FB",1992,10,10,35,25.1,5,0,1,0,5.1,10
"sbs","Walcott",1,"d","CC","FB",1992,10,10,4,32.2,0.1,0,0,0,12,20
"sbs","Walcott",1,"e","CC","FB",1992,10,10,25,17,1,0.1,0,0,5,1
"sbs","Walcott",2,"a","CC","FB",1992,10,10,15,29.5,0.1,25,0,0,13.5,3.1
"sbs","Walcott",2,"b","CC","FB",1992,10,10,6,3,1,20,0,0.5,14,5
"sbs","Walcott",2,"c","CC","FB",1992,10,10,20,4,3.1,7,0,0,3.1,0.1
"sbs","Walcott",2,"d","CC","FB",1992,10,10,30,12,2,20,0,0.1,18,3
"sbs","Walcott",2,"e","CC","FB",1992,10,10,30,1.1,5,23,0,0,2.1,3
"sbs","Walcott",3,"a","CC","FB",1992,10,10,7,9.1,8,0,0,0,8,0.1
"sbs","Walcott",3,"b","CC","FB",1992,10,10,2,5,12,0,0,0,8,2
"sbs","Walcott",3,"c","CC","FB",1992,10,10,7,2.1,3,0.1,0,0,18,3
"sbs","Walcott",3,"d","CC","FB",1992,10,10,0,1.1,9,0,0,0,4.1,0.1
"sbs","Walcott",3,"e","CC","FB",1992,10,10,5,3.1,11,0,0,0,5.2,0.2
"sbs","Walcott",1,"a","CC","FB",2003,21,20,80,9,0.1,0,0.1,0,9,7
"sbs","Walcott",1,"b","CC","FB",2003,21,20,29,15,2,0,0,0,4.1,33
"sbs","Walcott",1,"c","CC","FB",2003,21,20,75.1,7.2,0,0,2,0,19,38
"sbs","Walcott",1,"d","CC","FB",2003,21,20,24,19.1,1,0,0,0,10,49
"sbs","Walcott",1,"e","CC","FB",2003,21,20,74,14.1,1,1,1,0,43.1,8
"sbs","Walcott",2,"a","CC","FB",2003,21,20,60,55.1,1.1,25,0,1,32.1,12
"sbs","Walcott",2,"b","CC","FB",2003,21,20,40,4.1,0,18,0,1,53,12
"sbs","Walcott",2,"c","CC","FB",2003,21,20,45,6,0.1,8,0,1,22,3
"sbs","Walcott",2,"d","CC","FB",2003,21,20,55,13.3,2,23,0,0.1,42,16
"sbs","Walcott",2,"e","CC","FB",2003,21,20,33,25,3,25,0,0,20,9
"sbs","Walcott",3,"a","CC","FB",2003,21,20,51,35,3,0,0,0,78,5.5
"sbs","Walcott",3,"b","CC","FB",2003,21,20,70,4.5,7,0,0,0.5,36,7
"sbs","Walcott",3,"c","CC","FB",2003,21,20,80,3.5,0.5,0,0,0,35,8
"sbs","Walcott",3,"d","CC","FB",2003,21,20,35,1,1.5,0,0,0,14,6
