code,spp,authority,name,genus,family,order,class,division,kingdom,depth.root,vigour.sprout,spread.rate,AM,ECM,ERM,MIX,seed.size,seed.quant,seed.disp,seed.long,height,dur.plant,dur.leaf,n.fix,gsm1,gsm2,gsm3,gsm4,gsm5,light.index,latesnow.melt,alptundra,montboreal,subalpboreal,cooltemp,coolmeso,semiarid
CARECOI,Carex concinna,R. Br.,low northern sedge,Carex,Cyperaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.3,0.6,0.6,1,0,0,0,0.5,0.5,0.25,1,0,1,0,0,0,0.5,1,0,0,0.6,0,0,0,1,1,0,0
CAREDEW,Carex deweyana,Schwein.,Dewey's sedge,Carex,Cyperaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.3,0.6,0.6,1,0,0,0,0.5,0.5,0.25,1,0,1,0,0,0,0.5,1,0,0,0.4,0,0,0.5,1,1,1,0
CAREFOE,Carex foenea,Willd.,bronze sedge,Carex,Cyperaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.3,0.6,0.3,1,0,0,0,0.5,0.5,0.25,1,0,1,0,0,0,0.5,1,0,0,0.6,0,0,1,0.5,1,0,0.5
CAREMAC,Carex macloviana,d'Urv.,Falkland Island sedge,Carex,Cyperaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.3,0.6,0.3,0.5,0,0,0,0.5,0.5,0.25,1,0,1,0,0,0,0.5,1,0,0,0.8,0,0.5,1,1,1,1,1
CAREMER,Carex mertensii,Prescott ex Bong.,Mertens' sedge,Carex,Cyperaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.3,0.6,0.6,0.5,0,0,0,0.5,0.75,0.25,1,0,1,0,0,0,0,1,0,0.5,0.8,0,0.5,1,1,1,1,0
CAREPAC,Carex pachystachya,Cham. ex Steud.,thick-headed sedge,Carex,Cyperaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.3,0.6,0.3,1,0,0,0,0.5,0.5,0.25,1,0,1,0,0,0,0.5,1,0,0,0.4,0,0.5,0.5,1,1,1,1
CAREPEC,Carex peckii,Howe,Peck's sedge,Carex,Cyperaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.3,0.6,0.6,1,0,0,0,0.5,0.5,0.25,1,0,1,0,0,0,0.5,1,0,0,0.6,0,0,1,1,1,0,1
CAREROS,Carex rossii,Boott,Ross' sedge,Carex,Cyperaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.3,0.6,0.6,1,0,0,0,0.5,0.5,0.25,1,0,1,0,0,0,0,1,0.5,0,0.6,0,0,1,1,1,0,1
CASTMIN,Castilleja miniata,Dougl. ex Hook.,scarlet paintbrush,Castilleja,Orobanchaceae,Lamiales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.6,0.3,0.5,0,0,0,0.5,0.5,0.25,0.666666667,0,1,0.5,0,0,1,0,0,0,0.8,0,1,1,1,1,0.5,1
CASTPAR,Castilleja parviflora,Bong.,small-flowered paintbrush,Castilleja,Orobanchaceae,Lamiales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.3,0.3,0.5,0,0,0,0.5,0.5,0.25,0.666666667,0,1,0.5,0,0,1,0,0,0,0.8,0,1,0.5,1,0,0,0
CERA_SP,Cerastium sp.,,unidentified chickweed,Cerastium,Caryophyllaceae,Caryophyllales,Magnoliopsida,Magnoliophyta,Plantae,0.1,0.3,0.3,1,0,0,0,0.5,0.5,0.5,0.666666667,0,1,0,0,0,0.5,1,0,0,0.8,0,1,1,1,1,1,1
CHIMUMB,Chimaphila umbellata,(L.) Bart.,prince's pine,Chimaphila,Pyrolaceae,Ericales,Magnoliopsida,Magnoliophyta,Plantae,0.1,0.3,0.3,0,0,0,1,0.25,0.25,0.25,0.333333333,0,1,1,0,1,0,0,0,0,0.2,0,0,0.5,0.5,1,1,0
CHRYTET,Chrysosplenium tetrandrum,(Lund) T. Fries,northern golden-saxifrage,Chrysosplenium,Saxifragaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae,0.1,0.3,0.3,1,0,0,0,0.25,0.5,0.25,0.333333333,0,1,0,0,0,0.5,0,0,1,0.4,0,1,1,1,1,0,0
CINNLAT,Cinna latifolia,(Trev. ex Goepp.) Griseb.,nodding wood-reed,Cinna,Poaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.6,0.6,0.6,1,0,0,0,0.25,0.5,0.5,0.666666667,0,1,0,0,0,0.5,1,0,0,0.6,0,0.5,1,1,1,1,0.5
CIRCALP,Circaea alpina,L.,enchanter's-nightshade,Circaea,Onagraceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae,0.1,0.3,0.3,1,0,0,0,0.5,0.25,0.5,0.666666667,0,1,0,0,0,1,0,0,0.5,0.2,0,0,1,0.5,1,1,0
CIRS_SP,Cirsium sp.,,unidentified thistle,Cirsium,Asteraceae,Asterales,Magnoliopsida,Magnoliophyta,Plantae,0.6,1,1,1,0,0,0,0.5,0.75,0.75,0.666666667,0,0.5,0.5,0,0,0,1,0,0,0.8,0,1,1,1,1,1,1
CLINUNI,Clintonia uniflora,(Menzies ex J.A. & J.H. Schult.) Kunth,queen's cup,Clintonia,Liliaceae,Liliales,Liliopsida,Magnoliophyta,Plantae,0.3,0.3,0.3,1,0,0,0,0.75,0.25,0.5,0.666666667,0,1,0,0,1,0.5,0,0,0,0.4,0,0,0,0.5,1,1,0.5
CORNCAN,Cornus canadensis,L.,bunchberry,Cornus,Cornaceae,Cornales,Liliopsida,Magnoliophyta,Plantae,0.3,0.3,0.6,1,0,0,0,0.75,0.5,0.5,0.666666667,0,1,0.7,0,1,0,0,0,0,0.4,0,0,1,0.5,1,1,0
CORNSTO,Cornus stolonifera,Michx.,red-osier dogwood,Cornus,Cornaceae,Cornales,Magnoliopsida,Magnoliophyta,Plantae,0.6,1,0.3,1,0,0,0,0.75,0.5,0.5,0.666666667,0.6,1,0,0,0.5,1,0,0,0,0.6,0,0,1,0.5,1,1,1
CORYSEM,Corydalis sempervirens,(L.) Pers.,pink corydalis,Capnoides,Fumariaceae,Ranunculales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.3,0,0.5,0,0,0,0.5,0.5,0.5,1,0,0.5,0.5,0,0,0,1,0,0,0.8,0,0,1,0.5,1,0.5,1
CREP_SP,Crepis sp.,,unidentified hawksbeard,Crepis,Asteraceae,Asterales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.6,0,1,0,0,0,0.5,0.75,0.75,0.666666667,0,0.5,0.5,0,0,0,1,0,0,1,0,0,0.5,0.5,1,1,1
DESCCES,Deschampsia cespitosa,(L.) Beauv.,tufted hairgrass,Deschampsia,Poaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.6,1,0.3,1,0,0,0,0.5,0.5,0.5,0.666666667,0,1,0,0,0,1,0.5,0,0,0.6,0,1,1,1,1,1,0.5
DIPHCOM,Diphasiastrum complanatum,(L.) Holub,ground-cedar,Diphasiastrum,Lycopodiaceae,Lycopodiales,Lycopodiopsida,Lycopodiophyta,Plantae,0.3,0.3,0.3,1,0,0,0,0,1,1,0.666666667,0,1,1,0,1,0,0,0,0,0.2,0,1,1,1,1,0.5,0.5
DRYOEXP,Dryopteris expansa,(K.B. Presl) Fraser-Jenkins & Jermy,spiny wood fern,Dryopteris,Dryopteridaceae,Polypodiales,Pteridopsida,Pteridophyta,Plantae,0.3,0.6,0,1,0,0,0,0,1,1,0.666666667,0,1,0.5,0,0,1,0,0,0,0.2,0,0.5,1,1,1,1,0.5
ELYMGLA,Elymus glaucus,Buckl.,blue wildrye,Elymus,Poaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.6,1,0.3,1,0,0,0,0.75,0.75,0.75,0.666666667,0,1,0,0,0,1,0,0,0,0.6,0,0,0.5,0.5,1,1,1
EPILANG,Epilobium angustifolium,L.,fireweed,Epilobium,Onagraceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae,0.6,1,1,1,0,0,0,0.5,1,0.75,0.666666667,0,1,0,0,0.5,1,0,0,0,0.8,0,1,1,1,1,1,0
EPILCIL,Epilobium ciliatum,Raf.,purple-leaved willowherb,Epilobium,Onagraceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.3,0,1,0,0,0,0.25,0.75,0.75,1,0,0.5,0.5,0,0,0,1,0,0,0.8,0,1,1,1,1,1,1
EPILGLA,Epilobium glaberrimum,Barbey,smooth willowherb,Epilobium,Onagraceae,Myrtales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.3,0,1,0,0,0,0.25,0.75,0.75,0.666666667,0,1,0.5,0,0,1,0,0,0,0.6,0,1,0,1,0.5,0.5,0
EQUIARV,Equisetum arvense,L.,common horsetail,Equisetum,Equisetaceae,Equisetales,Equisetopsida,Pteridophyta,Plantae,0.6,1,1,0.5,0,0,0,0,1,1,0.333333333,0,1,0,0,0,0.5,1,0,0,0.6,0,1,1,1,1,1,1
EQUIPRA,Equisetum pratense,Ehrh.,meadow horsetail,Equisetum,Equisetaceae,Equisetales,Equisetopsida,Pteridophyta,Plantae,0.6,0.6,0.6,1,0,0,0,0,1,1,0.333333333,0,1,0,0,0,1,0,0,0,0.4,0,0,1,1,1,0,0
